[06/23/23 10:11:59] [INFO] received Windows console close event; shutting log-core down
[06/23/23 10:19:49] [INFO] received Windows console close event; shutting log-core down
[06/23/23 10:54:52] [INFO] received Windows console close event; shutting log-core down
[06/23/23 11:19:02] [INFO] received Windows console close event; shutting log-core down
[06/23/23 11:32:25] [INFO] received Windows console close event; shutting log-core down
[06/23/23 14:05:13] [INFO] received Windows console close event; shutting log-core down
[06/26/23 20:31:10] [INFO] received Windows console close event; shutting log-core down
[06/26/23 20:57:40] [INFO] received Windows console close event; shutting log-core down
[06/26/23 21:29:24] [INFO] received Windows console close event; shutting log-core down
[06/26/23 21:36:39] [INFO] received Windows console close event; shutting log-core down
[06/26/23 21:40:51] [INFO] received Windows console close event; shutting log-core down
[06/26/23 21:57:34] [INFO] received Windows console close event; shutting log-core down
[06/29/23 12:39:24] [INFO] received Windows console close event; shutting log-core down
[06/30/23 21:55:33] [INFO] received Windows console close event; shutting log-core down
[06/30/23 22:18:23] [INFO] received Windows console close event; shutting log-core down
[06/30/23 22:34:07] [INFO] received Windows console close event; shutting log-core down
[06/30/23 22:44:00] [INFO] received Windows console close event; shutting log-core down
[06/30/23 23:01:14] [INFO] received Windows console close event; shutting log-core down
[06/30/23 23:04:26] [INFO] received Windows console close event; shutting log-core down
[06/30/23 23:07:13] [INFO] received Windows console close event; shutting log-core down
[06/30/23 23:12:39] [INFO] received Windows console close event; shutting log-core down
[07/01/23 00:02:49] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[07/01/23 00:02:49] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Unhandled Exception Handler catched; shutting log-core down
[07/01/23 00:02:49] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[07/01/23 00:02:54] [INFO] received Windows console close event; shutting log-core down
[07/01/23 00:04:47] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[07/01/23 00:04:47] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Unhandled Exception Handler catched; shutting log-core down
[07/01/23 00:04:47] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[07/01/23 00:05:32] [INFO] received Windows console close event; shutting log-core down
[07/01/23 00:07:46] [INFO] received Windows console close event; shutting log-core down
[07/01/23 00:09:59] [INFO] received Windows console close event; shutting log-core down
[07/04/23 08:06:29] [INFO] received Windows console close event; shutting log-core down
[07/04/23 08:12:08] [INFO] received Windows console close event; shutting log-core down
[07/04/23 08:16:00] [INFO] received Windows console close event; shutting log-core down
[07/04/23 08:20:50] [INFO] received Windows console close event; shutting log-core down
[07/04/23 08:32:46] [INFO] received Windows console close event; shutting log-core down
[07/04/23 09:31:11] [INFO] received Windows console close event; shutting log-core down
[07/04/23 10:04:10] [INFO] received Windows console close event; shutting log-core down
[07/05/23 11:13:04] [INFO] received Windows console close event; shutting log-core down
[07/05/23 11:14:49] [INFO] received Windows console close event; shutting log-core down
[07/05/23 11:15:27] [INFO] received Windows console close event; shutting log-core down
[07/05/23 11:42:16] [INFO] received Windows console close event; shutting log-core down
[07/05/23 12:07:56] [INFO] received Windows console close event; shutting log-core down
[07/05/23 19:01:26] [INFO] received Windows console close event; shutting log-core down
[07/05/23 19:39:24] [INFO] received Windows console close event; shutting log-core down
[07/05/23 20:10:16] [INFO] received Windows console close event; shutting log-core down
[07/05/23 20:15:18] [INFO] received Windows console close event; shutting log-core down
[07/05/23 21:45:41] [INFO] received Windows console close event; shutting log-core down
[07/05/23 22:03:48] [INFO] received Windows console close event; shutting log-core down
[07/05/23 22:22:34] [INFO] received Windows console close event; shutting log-core down
[07/05/23 22:24:39] [INFO] received Windows console close event; shutting log-core down
[07/05/23 23:16:00] [INFO] received Windows console close event; shutting log-core down
[07/05/23 23:23:12] [INFO] received Windows console close event; shutting log-core down
[07/06/23 02:21:47] [INFO] received Windows console close event; shutting log-core down
[07/06/23 05:52:16] [INFO] received Windows console close event; shutting log-core down
[07/06/23 08:54:21] [INFO] received Windows console close event; shutting log-core down
[07/06/23 08:54:25] [INFO] received Windows console close event; shutting log-core down
[07/07/23 05:13:34] [INFO] received Windows console close event; shutting log-core down
[07/07/23 05:15:35] [INFO] received Windows console close event; shutting log-core down
[07/07/23 05:17:31] [INFO] received Windows console close event; shutting log-core down
[07/08/23 02:49:01] [INFO] received Windows console close event; shutting log-core down
[07/08/23 02:51:19] [INFO] received Windows console close event; shutting log-core down
[07/09/23 04:25:02] [INFO] received Windows console close event; shutting log-core down
